No.,Tissue,Elevated_Gene_symbol,GO_BP,GO_MF,GO_CC,REACTOME,KEGG,BIOCARTA
185,Adipose,SEMA3G,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
186,Adipose,SLC10A6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
187,Adipose,SLC19A3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
188,Adipose,SLC29A4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
189,Adipose,SLC7A10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
190,Adipose,SNCG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
191,Adipose,SOX18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
192,Adipose,SPAAR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
193,Adipose,SPOCD1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
194,Adipose,SPRY1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
195,Adipose,SPX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
196,Adipose,SRPX2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
197,Adipose,STBD1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
198,Adipose,STC1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
199,Adipose,STEAP4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
200,Adipose,SYNE3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
201,Adipose,TACR1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
202,Adipose,THBS4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
203,Adipose,THRSP,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
204,Adipose,TMEM132C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
205,Adipose,TNFRSF4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
206,Adipose,TNMD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
207,Adipose,TNN,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
208,Adipose,TREM2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
209,Adipose,UPK3B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
210,Adipose,VWF,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
211,Adipose,WNT11,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
212,Adipose,ZNF366,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
213,Adrenal Gland,CYP11B1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
214,Adrenal Gland,CYP11B2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
215,Adrenal Gland,TH,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
216,Adrenal Gland,CYP21A2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
217,Adrenal Gland,GPRC6A,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
218,Adrenal Gland,NXPH1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
219,Adrenal Gland,CAMK2N2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
220,Adrenal Gland,ECE2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
221,Adrenal Gland,FAM19A3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
222,Adrenal Gland,ASB4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
223,Adrenal Gland,HSFX4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
224,Adrenal Gland,AKAIN1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
225,Adrenal Gland,BRINP2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
